Printing BetweenessCentrality
Printing HITS authority + hub
User chrisdrackett = Auth(  0.00291 ) + Hub(  0.01952 ) 
User muhh = Auth(  0.00007 ) + Hub(  0.00005 ) 
User harukizaemon = Auth(  0.00007 ) + Hub(  0.00000 ) 
User maven = Auth(  0.00010 ) + Hub(  0.00000 ) 
User wprater = Auth(  0.00007 ) + Hub(  0.00006 ) 
User dronedynamics = Auth(  0.00046 ) + Hub(  0.00004 ) 
User kappa = Auth(  0.00096 ) + Hub(  0.00223 ) 
User jed = Auth(  0.00224 ) + Hub(  0.00457 ) 
User gruber = Auth(  0.00149 ) + Hub(  0.00000 ) 
User peterbe = Auth(  0.00007 ) + Hub(  0.00170 ) 
User electronicbites = Auth(  0.00007 ) + Hub(  0.02791 ) 
User nertzy = Auth(  0.00007 ) + Hub(  0.00001 ) 
User holstad = Auth(  0.00007 ) + Hub(  0.00001 ) 
User robertschultz = Auth(  0.00007 ) + Hub(  0.00374 ) 
User fpighi = Auth(  0.00007 ) + Hub(  0.00760 ) 
User peterba = Auth(  0.00007 ) + Hub(  0.02671 ) 
User Zettt = Auth(  0.00007 ) + Hub(  0.00369 ) 
User NZKoz = Auth(  0.00054 ) + Hub(  0.00000 ) 
User samsm = Auth(  0.00017 ) + Hub(  0.00009 ) 
User niklas = Auth(  0.00007 ) + Hub(  0.00760 ) 
User jey = Auth(  0.00079 ) + Hub(  0.00214 ) 
User blech75 = Auth(  0.00007 ) + Hub(  0.03160 ) 
User Theaxiom = Auth(  0.00009 ) + Hub(  0.00366 ) 
User cowsandmilk = Auth(  0.00106 ) + Hub(  0.00059 ) 
User jordan52 = Auth(  0.00007 ) + Hub(  0.00059 ) 
User rafaelparra = Auth(  0.00007 ) + Hub(  0.00369 ) 
User sryche = Auth(  0.00007 ) + Hub(  0.00033 ) 
User tfabeen = Auth(  0.00007 ) + Hub(  0.00941 ) 
User gregclimbs = Auth(  0.00007 ) + Hub(  0.00001 ) 
User fuba = Auth(  0.00096 ) + Hub(  0.00127 ) 
User zoodles = Auth(  0.00007 ) + Hub(  0.00002 ) 
User jh3 = Auth(  0.00007 ) + Hub(  0.00006 ) 
User morganp = Auth(  0.00007 ) + Hub(  0.00549 ) 
User slemiere = Auth(  0.00007 ) + Hub(  0.00715 ) 
User elmosi = Auth(  0.00007 ) + Hub(  0.00001 ) 
User gregveen = Auth(  0.00067 ) + Hub(  0.00003 ) 
User charlenopires = Auth(  0.00007 ) + Hub(  0.07253 ) 
User zejn = Auth(  0.00007 ) + Hub(  0.00487 ) 
User fabiokung = Auth(  0.00007 ) + Hub(  0.00000 ) 
User imownbey = Auth(  0.00388 ) + Hub(  0.00284 ) 
User MorleSolutions = Auth(  0.00007 ) + Hub(  0.00011 ) 
User inkdeep = Auth(  0.00007 ) + Hub(  0.01317 ) 
User jasonmoo = Auth(  0.00025 ) + Hub(  0.00009 ) 
User tarcieri = Auth(  0.00391 ) + Hub(  0.00214 ) 
